,id,score,query,title,content,model_name,distance,is_found
2970,10734,-1.0728836059570312e-06,КРОВОТЕЧЕНИЕ,ВОДОТОЛЧЕНИЕ,"Пустые разговоры, бессодержательное обсуждение чего-н. Заниматься водотолче-нием. ",intfloat/multilingual-e5-large,cosine,False
24769,21892,-5.960464477539062e-07,ПРЫТКИЙ,СЕРДИТЫЙ,"Склонный сердиться, раздражительный. С. сосед. С. нрав. На сердитых воду возят (поел.: выражение иронического отношения к тому, кто сердится). 2. Выражающий раздражение, гнев. С. окрик, взгляд. Говорить сердито (нареч.). 3. на кого-что. Такой, к-рый сердится, рассержен. Сердит на сына. 4. перен. Сильно действующий, крепкий, забористый (разг. шутл.). С. табак. Сердитая горчица. 5. О ветре, морозе: очень сильный. * Дешево и сердито (разг.) - о чем-н. дешевом, доступном и в то же время вполне отвечающем своему назначению. Под сердитую руку (разг.) - когда сердит, в раздражении, в сердцах. Яопвссться кому-н. под сердитую руку. Побил под сердитую руку. В сердитую минуту (разг.) - когда кго-н. сердит, рассержен. Обругал в сердитую минуту. II сущ сердитость, -и, ас. (ко 2 знач.). ",intfloat/multilingual-e5-large,cosine,False
5390,8247,4.76837158203125e-07,ИДИОТСТВО,ДЕЙСТВО,"В старину драматическое представление. * Церковные действа - обряды русской православной церкви. ДЕЙСТВОВАТЬ, -твую, -твуешь; несов. 1. Совершать действия, быть в действии. Д. решительно. Действующая армия (ведущая военные действия). Механизм хорошо действует. Действуй! (делай то, что нужно, что решили; разг.). 2. па кого-что. Оказывать воздействие, -влиять. Лекарство на него действует хорошо. Уговоры на него не действуют. 3. (1 и 2 л. не употр.). В нек-рых сочетаниях: иметься, существовать. Для конкурсантов действуют строгие ограничения. Старые законы не действуют. Действующие правила. Действующий режим, график, II сов. подействовать, -твую, -твуешь (ко 2 знач.). ",intfloat/multilingual-e5-large,cosine,False
14624,3773,2.384185791015625e-07,ВЫЗОВ,НИЗИНА,"Низменное место. Село расположено в низине. II прил. низинный, -ая, -ое. Низинные болота (в поймах рек). ",intfloat/multilingual-e5-large,cosine,False
13343,6489,-2.384185791015625e-07,ЕЖЕГОДНЫЙ,НАКОСТНЫЙ,"Находящийся на кости, на костях. Накостное утолщение. ",intfloat/multilingual-e5-large,cosine,False
13343,13410,-3.5762786865234375e-07,НАМЕСТНИЧЕСТВО,НАКОСТНЫЙ,"Находящийся на кости, на костях. Накостное утолщение. ",intfloat/multilingual-e5-large,cosine,False
28502,2056,-3.5762786865234375e-07,БУТИТЬ,УКУТАТЬ,"Кутая, закрыть со всех сторон. У. ребенка в одеяло. К несов. укутывать, -ар), -аешь. И еозер. укутаться, -аюсь, -аещься; несов. укутываться, oаюсь, -аешься. У. платкам (в платок). II сущ. укутывавне, -я, ср. ",intfloat/multilingual-e5-large,cosine,False
28217,28217,-8.344650268554688e-07,УБЫСТРИТЬ,УБЫСТРИТЬ,"То же, что ускорить (в 1 знач.). У. шаг. II несов. убыстрять, -яю, -яешь. II сущ. убыстрение, -я, ср. УБЫСТРИТЬСЯ (-рЮсь, -ришься, 1 и 2 л. не употр.), -рится; сов. То же, что ускориться (в 1 знач.). Пульс убыстрился. Движение убыстрилось. II несов. убыстряться (-яюсь, -яешься, 1 и 2 л. не употр.), -яется. II сущ. убыстрение, -я, ср. ",intfloat/multilingual-e5-large,cosine,True
6668,26507,2.384185791015625e-07,СТЕРЖЕНЬ,ЖЕНЬШЕНЬ,"Дальневосточное многолетнее травянистое растение, корень к-рого применяется в медицине как лечебное и тонизирующее средство. Ж. - корень жизни. II прил. женьшеневый, -ая, -ое. Женъшвневые плантации. ",intfloat/multilingual-e5-large,cosine,False
23171,22999,5.960464477539063e-08,РАСПРОПАГАНДИРОВАТЬ,РАСТРОГАТЬ,"Тронуть2, заставить расчувствоваться. Р. жалостной историей. ",intfloat/multilingual-e5-large,cosine,False
1380,1380,1.1920928955078125e-07,БЕСХИТРОСТНЫЙ,БЕСХИТРОСТНЫЙ,"Прямодушный, простой. Б. ребенок. Б. рассказ. II сущ. бесхитростность, -и, ж. ",intfloat/multilingual-e5-large,cosine,True
7333,7333,-7.152557373046875e-07,ЗАМОТАННЫЙ,ЗАМОТАННЫЙ,"Усталый от забот, дел, утомленный. II сущ. за-мотанность, -и, ж. ",intfloat/multilingual-e5-large,cosine,True
